  0.3580081000000E+00     0.3167703636270E+02
  0.3104988000000E+00     0.2147963165344E+03

  0.2154801000000E+00     0.1831182299252E+03
  0.3104988000000E+00     0.2147963165344E+03

  0.3359420000000E-01     0.5128818489270E+02
  0.3104988000000E+00     0.1342311660946E+03

  0.3104988000000E+00     0.8294287089270E+02
  0.3104988000000E+00     0.1342311660946E+03

  0.6718830000000E-01     0.5784774171410E+02
  0.1679708000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.1740741923031E+03
  0.1679708000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.5784774171410E+02
  0.1679708000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.1740741923031E+03
  0.1679708000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.5784774171410E+02
  0.1681688000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.1740741923031E+03
  0.1681688000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.5784774171410E+02
  0.1683667000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.1740741923031E+03
  0.1683667000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.5784774171410E+02
  0.1685647000000E+00     0.2319210489820E+03

  0.6718830000000E-01     0.1740741923031E+03
  0.1685647000000E+00     0.2319210489820E+03

